과제번호,source,신약구분,질환,표적,모달리티_대분류,모달리티,개발단계,보유기관,적응증,약물,현재상태,시작일,1차완료예정,등록목표,성공가능성_pct,성공가능성_근거,과제명
RS-2023-00217370,KDDF,,심혈관,TNAP,합성/저분자,Small molecules,발굴,(주)레드엔비아,Aortic stenosis,,진행중 (국가신약개발사업 협약과제),,,,1.5,"추정(발굴→승인, 업계 통용)",대동맥판막 협착증 치료를 위한 TNAP inhibitor의 유효·선도물질 도출 연구
RS-2023-00217737,KDDF,,심혈관,FGF12,바이오/첨단,Gene & Nucleic acids,발굴,(주)글루진테라퓨틱스,Pulmonary hypertension,,진행중 (국가신약개발사업 협약과제),,,,1.5,"추정(발굴→승인, 업계 통용)",평활근세포 특이적 신 AAV벡터 최적화를 통한 AAV-FGF12 기반 폐동맥 고혈압 유전자 치료제 선도물질 도출
HN21C0281,KDDF,,심혈관,pendrin,합성/저분자,Small molecules,발굴,연세대학교 산학협력단,"Congestive heart failure, Chronic renal disease",,진행중 (국가신약개발사업 협약과제),,,,1.5,"추정(발굴→승인, 업계 통용)",만성심부전증과 만성신장질환에서 새로운 이뇨제 후보인 펜드린 억제제의 이뇨효과 입증 및 최적의 선도물질 도출
RS-2025-02213140,KDDF,,심혈관,ANO6,합성/저분자,Small molecules,발굴,주식회사 에스투시바이오,Thrombosis,,진행중 (국가신약개발사업 협약과제),,,,1.5,"추정(발굴→승인, 업계 통용)",출혈 안전성을 획기적으로 개선한 신규 ANO6 표적 항혈전 혁신신약 후보물질 도출
RS-2022-00165937,KDDF,,심혈관,PDGFR,합성/저분자,Small molecules,발굴,보로노이(주),Pulmonary hypertension,,진행중 (국가신약개발사업 협약과제),,,,1.5,"추정(발굴→승인, 업계 통용)",흡입용 폐동맥 고혈압 치료제 개발을 위한 저분자 PDGFR 신호 억제제 후보 물질 도출 연구
HN21C0741,KDDF,,심혈관,"miRNA (miR-A, 128-3p, 34a-5p, B, 203a-3p)",바이오/첨단,Gene & Nucleic acids,발굴,(주)스템메디텍,Acute heart failure,,진행중 (국가신약개발사업 협약과제),,,,1.5,"추정(발굴→승인, 업계 통용)",세포투과성 안타고머에 기반한 고효율 심근경색증 치료제 개발
HN21C0644,KDDF,,심혈관,HGF,바이오/첨단,Gene & Nucleic acids,발굴,(주)지앤피바이오사이언스,"Peripheral arterial disease, Diabetic peripheral neuropathy",,진행중 (국가신약개발사업 협약과제),,,,1.5,"추정(발굴→승인, 업계 통용)",혈관 재생 기전의 간세포성장인자 유전자를 이용한 허혈성 지체질환 유전자치료제 후보물질 도출 및 비임상 유효성 연구
RS-2024-00338193,KDDF,,심혈관,Peroxiredoxin II (PRDX2),합성/저분자,Small molecules,비임상,바스테라 주식회사,Pulmonary Arterial Hypertension,,진행중 (국가신약개발사업 협약과제),,,,6.0,"추정(비임상→승인, 업계 통용)",신규 타겟 PRDX를 표적으로 하는 폐동맥고혈압 치료제의 비임상 개발
RS-2024-00333652,KDDF,,심혈관,miRNA (miR-145 억제),바이오/첨단,Gene & Nucleic acids,비임상,(주)리젠이노팜,Myocardial infarction,,진행중 (국가신약개발사업 협약과제),,,,6.0,"추정(비임상→승인, 업계 통용)",세포투과성 안타고머를 이용한 고효율 심근경색증 치료제 비임상개발
HN21C1316,KDDF,,심혈관,PP1,바이오/첨단,rProtein,비임상,주식회사 나디안바이오,Pulmonary hypertension,,진행중 (국가신약개발사업 협약과제),,,,6.0,"추정(비임상→승인, 업계 통용)",PP1을 표적으로 하는 폐고혈압 치료제에 대한 비임상개발
RS-2023-00283541,KDDF,,심혈관,KARS1,바이오/첨단,Antibody,임상1상,(주)자이메디,Pulmonary hypertension,,진행중 (국가신약개발사업 협약과제),,,,9.6,BIO 2016 (Phase1→승인 9.6%),면역세포 이동을 저해하는 폐동맥 고혈압 치료 항체 ZMA001의 임상 1상 개발
HN21C1047,KDDF,,심혈관,DPP-4,합성/저분자,Small molecules,임상2상,(주)레드엔비아,Aortic Stenosis,,진행중 (국가신약개발사업 협약과제),,,,15.2,BIO 2016 (Phase2→승인 15.2%),대동맥판막협착증 내과적 치료를 위한 DPP-4 Inhibitor (Evogliptin)의 글로벌 임상2상 개발연구
HN21C0438,KDDF,,소화기,Ghrelin receptor,합성/저분자,Small molecules,발굴,경북대학교 산학협력단,Dyspepsia,,진행중 (국가신약개발사업 협약과제),,,,1.5,"추정(발굴→승인, 업계 통용)",그렐린 수용체 타겟의 저분자 화합물을 이용한 기능성 소화장애 및 암악액질 치료 제에 대한 선도물질 도출 연구
RS-2022-00167125,KDDF,,소화기,Gallstone,합성/저분자,Small molecules,발굴,(주)서지넥스,Cholelithiasis,,진행중 (국가신약개발사업 협약과제),,,,1.5,"추정(발굴→승인, 업계 통용)",담석치료의 새로운 파라다임의 구축: 담석에 대한 접촉성 용해물질의 개발
RS-2025-25453205,KDDF,,소화기,-,합성/저분자,Others-Synth.,비임상,주식회사 인벤테라,Magnetic resonance cholangiopancreatography (MRCP),,진행중 (국가신약개발사업 협약과제),,,,6.0,"추정(비임상→승인, 업계 통용)",철분기반 고성능 자기공명 췌담관 특화 조영제의 임상 1/2a IND 진입을 위한 비임상연구
RS-2025-02213042,KDDF,,기타,****receptor,합성/저분자,Small molecules,발굴,아벤티,Sarcopenia,,진행중 (국가신약개발사업 협약과제),,,,1.5,"추정(발굴→승인, 업계 통용)",NMJ를 활성화하는 저분자 화합물을 이용한 노인성 근감소증 치료제 유효물질 최적화 및 선도물질 도출
RS-2025-02213034,KDDF,,기타,ASM,합성/저분자,Small molecules,발굴,(재)대구경북첨단의료산업진흥재단,Sepsis,,진행중 (국가신약개발사업 협약과제),,,,1.5,"추정(발굴→승인, 업계 통용)",ASM 병인 타겟의 저분자 화합물을 이용한 면역-장벽투과성 기전의 패혈증 치료제에 대한 유효/선도물질 도출
RS-2024-00336938,KDDF,,기타,PROKR1 agonist,합성/저분자,Small molecules,발굴,서울대학교,Sarcopenia,,진행중 (국가신약개발사업 협약과제),,,,1.5,"추정(발굴→승인, 업계 통용)",근감소증 예방 및 치료를 위해 PROKR1에 작용 활성을 갖는 저분자 유효물질 최적화 및 선도물질 도출 연구
RS-2023-00217266,KDDF,,기타,Tankyrase,표적단백질분해(TPD),TPD,발굴,서울대학교산학협력단,Osteoarhtritis,,진행중 (국가신약개발사업 협약과제),,,,1.5,"추정(발굴→승인, 업계 통용)",PROTAC 기술에 기반하여 연골재생을 유도하는 골관절염 치료용 tankyrase 분해유도제 개발
RS-2022-00167006,KDDF,,기타,OSCAR,합성/저분자,Small molecules,발굴,카이팜,Osteoarthritis,,진행중 (국가신약개발사업 협약과제),,,,1.5,"추정(발굴→승인, 업계 통용)",골관절염 치료를 위한 연골 재생 기전의 저분자 화합물 제제 선도물질 도출
HN22C0330,KDDF,,기타,CLCF1,바이오/첨단,rProtein,발굴,한국생명공학연구원,Sarcopenia,,진행중 (국가신약개발사업 협약과제),,,,1.5,"추정(발굴→승인, 업계 통용)",엑서카인 기반 노인성 근감소증 치료 유효물질 도출
HN21C0317,KDDF,,기타,Cathepsin K,바이오/첨단,Antibody,발굴,이화여자대학교 산학협력단,Osteoporosis,,진행중 (국가신약개발사업 협약과제),,,,1.5,"추정(발굴→승인, 업계 통용)",임상적으로 확인된 혁신적 작용기전을 이용한 뼈전달 골다공증 항체치료제
HN21C0107,KDDF,,기타,"DRAK1, ADCK4, CDC42BPA",합성/저분자,Small molecules,발굴,경북대학교 산학협력단,Hearing loss,,진행중 (국가신약개발사업 협약과제),,,,1.5,"추정(발굴→승인, 업계 통용)",시스플라틴에 의한 이독성 난청 치료제 선도물질 발굴
HN21C1024,KDDF,,기타,"ABO BCR, CD3",바이오/첨단,Antibody,발굴,한국과학기술원,Organ Failure (incompatible blood type),,진행중 (국가신약개발사업 협약과제),,,,1.5,"추정(발굴→승인, 업계 통용)",T 세포 유도 이중항체를 이용한 항원 특이적 B 세포 제거 기전의 혈액형 부적합 장기이식 치료제에 대한 선도물질 도출 연구
HN21C0976,KDDF,,기타,TLQP21,바이오/첨단,rProtein,발굴,서울아산병원,Sarcopenia,,진행중 (국가신약개발사업 협약과제),,,,1.5,"추정(발굴→승인, 업계 통용)",TLQP21 기반의 근육-특이 전달 융합 펩타이드를 이용한 근감소증 치료제에 대한 선도 물질 도출
RS-2025-25451838,KDDF,,기타,CDO,합성/저분자,Small molecules,발굴,애니머스큐어 주식회사,DMD,,진행중 (국가신약개발사업 협약과제),,,,1.5,"추정(발굴→승인, 업계 통용)",CDO 타겟의 저분자 화합물을 이용한 DMD 치료제에 대한 선도물질 도출
RS-2025-02223270,KDDF,,기타,mTORC2,합성/저분자,Small molecules,발굴,알리아드바이오파마,Sarcopenia,,진행중 (국가신약개발사업 협약과제),,,,1.5,"추정(발굴→승인, 업계 통용)",근감소증 혁신 치료제 개발을 위한 선도 물질 도출
RS-2024-00337778,KDDF,,기타,HPRT1,바이오/첨단,Other-Bio.,발굴,엠디뮨,Lesch-Nyhan syndrome,,진행중 (국가신약개발사업 협약과제),,,,1.5,"추정(발굴→승인, 업계 통용)",HPRT1 mRNA와 단백질이 탑재된 세포유래소포를 이용한 효소대체요법의 레쉬-니한 증후군 치료제에 대한 선도물질 도출 연구
RS-2023-00258812,KDDF,,기타,BKCa,합성/저분자,Small molecules,발굴,광주과학기술원,Bladder disease,,진행중 (국가신약개발사업 협약과제),,,,1.5,"추정(발굴→승인, 업계 통용)",과민성 방광질환 치료 타겟 BKCa 채널 효현제 선도물질 개발 연구
RS-2022-00165803,KDDF,,기타,NOTCH1,바이오/첨단,rProtein,발굴,뉴온바이오,Sarcopenia,,진행중 (국가신약개발사업 협약과제),,,,1.5,"추정(발굴→승인, 업계 통용)",NOTCH1 억제 작용기전의 NB-101 근감소증 치료제 선도물질 도출 및 생산공정 개발
HN22C0095,KDDF,,기타,Nrf2,합성/저분자,Small molecules,발굴,주식회사 라플레,Lymphedema,,진행중 (국가신약개발사업 협약과제),,,,1.5,"추정(발굴→승인, 업계 통용)",림프부종 예방 및 치료를 위한 다중기전 선도물질 개발
HN22C0027,KDDF,,기타,CXCL12,바이오/첨단,Antibody,발굴,주식회사 에피바이오텍,Hair Loss,,진행중 (국가신약개발사업 협약과제),,,,1.5,"추정(발굴→승인, 업계 통용)",남성형 및 원형 탈모증 항체 신약개발을 위한 선도물질 도출에 관한 연구
HN21C0500,KDDF,,기타,Atrogin-1,바이오/첨단,Gene & Nucleic acids,발굴,(주)아벤티,Sarcopenia,,진행중 (국가신약개발사업 협약과제),,,,1.5,"추정(발굴→승인, 업계 통용)",miRNA 기반 근육감소질환 치료 선도물질 최적화 연구
HN21C0163,KDDF,,기타,KV7.4,합성/저분자,Small molecules,발굴,연세대학교 산학협력단,Genetic Hearing Loss,,진행중 (국가신약개발사업 협약과제),,,,1.5,"추정(발굴→승인, 업계 통용)",유전성난청(DFNA2) 치료을 위한 KV7.4 특이적 활성제 개발
RS-2025-25453255,KDDF,,기타,NUAK1,합성/저분자,Small molecules,발굴,지놈앤컴퍼니,CKD,,진행중 (국가신약개발사업 협약과제),,,,1.5,"추정(발굴→승인, 업계 통용)",최적화를 통한 NUAK1 표적 후보물질 도출 및 비임상 개발 진입
RS-2025-25453248,KDDF,,기타,NOTCH1,바이오/첨단,rProtein,발굴,주식회사 엔비사이언스,Sarcopenia,,진행중 (국가신약개발사업 협약과제),,,,1.5,"추정(발굴→승인, 업계 통용)",NOTCH1 억제 작용기전의 NB-101 근감소증 치료제 후보물질 도출
RS-2024-00349857,KDDF,,기타,Kv7.4,합성/저분자,Small molecules,발굴,주식회사 아이엔테라퓨틱스,"Sensorineural hearing loss (noise-induced, ototoxic, and hereditary)",,진행중 (국가신약개발사업 협약과제),,,,1.5,"추정(발굴→승인, 업계 통용)","감각신경성 난청 (소음성,이독성,유전성) 치료를 위한 Kv7.4 특이적 활성화 약물개발"
RS-2023-00283926,KDDF,,기타,Sensorineural hearing loss (with mitochondrial defects),바이오/첨단,Other-Bio.,발굴,(주)파이안바이오테크놀로지,Hearing loss,,진행중 (국가신약개발사업 협약과제),,,,1.5,"추정(발굴→승인, 업계 통용)",미토콘드리아 이식에 의한 감각신경성 난청 치료제 개발
RS-2023-00218925,KDDF,,기타,Cu2+,바이오/첨단,rProtein,발굴,아보메드,Wilson disease,,진행중 (국가신약개발사업 협약과제),,,,1.5,"추정(발굴→승인, 업계 통용)",윌슨병 치료제로서 구리 특이적 저분자 펩타이드의 First-in-human 임상 승인을 위한 비임상 개발
RS-2023-00217918,KDDF,,기타,Tie2,바이오/첨단,Antibody,발굴,주식회사 맵틱스,Acute Kidney Injury,,진행중 (국가신약개발사업 협약과제),,,,1.5,"추정(발굴→승인, 업계 통용)",Tie2 활성화 항체 기반 급성신손상(AKI) 치료제 후보물질 도출
HN22C0196,KDDF,,기타,Gd-ligand,합성/저분자,Others-Synth.,발굴,㈜팜젠사이언스,MRI contrast agent,,진행중 (국가신약개발사업 협약과제),,,,1.5,"추정(발굴→승인, 업계 통용)",안전성을 개선한 거대고리형 간 특이 MRI 조영제 신약 개발
RS-2025-25451385,KDDF,,기타,****,합성/저분자,Small molecules,비임상,(주)유한양행,CKD,,진행중 (국가신약개발사업 협약과제),,,,6.0,"추정(비임상→승인, 업계 통용)",신규 만성콩팥병 치료제 YH34180A의 비임상 연구
RS-2025-25444945,KDDF,,기타,****,바이오/첨단,Other-Bio.,비임상,주식회사 일리아스바이오로직스,****,,진행중 (국가신약개발사업 협약과제),,,,6.0,"추정(비임상→승인, 업계 통용)",**** 치료를 위한 항염증 단백질 탑재 엑소좀 기반 약물의 글로벌 임상 시험 승인 연구
RS-2025-02213496,KDDF,,기타,ATP7B,바이오/첨단,rProtein,비임상,아보메드,Wilson disease,,진행중 (국가신약개발사업 협약과제),,,,6.0,"추정(비임상→승인, 업계 통용)",윌슨병 치료제로서 구리 특이적 저분자 펩타이드의 First-in-human 임상시험 승인을 위한 비임상 개발
RS-2025-02073027,KDDF,,기타,Super repressor IκB,바이오/첨단,Other-Bio.,비임상,주식회사 일리아스바이오로직스,CKD,,진행중 (국가신약개발사업 협약과제),,,,6.0,"추정(비임상→승인, 업계 통용)",엑소좀 기반 만성신장질환 치료제의 비임상 개발 및 임상시험계획 승인 연구
RS-2024-00462636,KDDF,,기타,Gadolinium Based Liver-specific Contrast Agent,합성/저분자,Others-Synth.,비임상,(주)팜젠사이언스,MRI liver imaging,,진행중 (국가신약개발사업 협약과제),,,,6.0,"추정(비임상→승인, 업계 통용)",안전성을 개선한 거대고리형 간 특이 MRI 조영제 비임상개발
RS-2024-00443597,KDDF,,기타,TMA,바이오/첨단,Other-Bio.,비임상,(주)바이오미,Trimethylaminuria,,진행중 (국가신약개발사업 협약과제),,,,6.0,"추정(비임상→승인, 업계 통용)",BM109 마이크로바이옴 균주의 TMAU 치료제 개발을 위한 미국 FDA 희귀의약품 지정 및 FDA IND 승인
RS-2023-00282719,KDDF,,기타,Caspase,합성/저분자,Small molecules,비임상,(주) 이노보테라퓨틱스,Osteoarthritis,,진행중 (국가신약개발사업 협약과제),,,,6.0,"추정(비임상→승인, 업계 통용)",염증소체(inflammasome) 억제의 신규기전을 갖는 골관절염 합성신약 개발
RS-2023-00258278,KDDF,,기타,bmp7,바이오/첨단,rProtein,비임상,주식회사 다나테인,Degenerative arthritis,,진행중 (국가신약개발사업 협약과제),,,,6.0,"추정(비임상→승인, 업계 통용)",퇴행성관절염 치료용 DMOAD 약물 DRT.101의 비임상 연구
RS-2023-00258121,KDDF,,기타,Muscarinic M3,합성/저분자,Small molecules,비임상,주식회사 이플라스크,Hyperhidrosis,,진행중 (국가신약개발사업 협약과제),,,,6.0,"추정(비임상→승인, 업계 통용)",EFL.1101 다한증 치료제 개발
RS-2023-00219125,KDDF,,기타,Uric Acid,바이오/첨단,rProtein,비임상,프로앱텍,Gout,,진행중 (국가신약개발사업 협약과제),,,,6.0,"추정(비임상→승인, 업계 통용)",SelecAll 기술을 적용한 결절성 통풍치료제 비임상시험 완료 및 IND 승인
RS-2023-00217372,KDDF,,기타,GFRA1,합성/저분자,Small molecules,비임상,제이더블유중외제약 주식회사,Androgenetic alopecia,,진행중 (국가신약개발사업 협약과제),,,,6.0,"추정(비임상→승인, 업계 통용)",GFRA1 수용체 길항제 JW0061의 안드로겐성 탈모치료제 개발
RS-2022-00165887,KDDF,,기타,pre-let7 miRNA,바이오/첨단,rProtein,비임상,(주)스템메디텍,Diabetic foot ulcer,,진행중 (국가신약개발사업 협약과제),,,,6.0,"추정(비임상→승인, 업계 통용)",다중작용 재생 펩타이드를 이용한 신개념 당뇨 족부 궤양 치료제
HN21C1247,KDDF,,기타,NPR-B,바이오/첨단,rProtein,비임상,(주)펩트론,Achondroplasia,,진행중 (국가신약개발사업 협약과제),,,,6.0,"추정(비임상→승인, 업계 통용)",NPR-B 타겟의 펩타이드 화합물을 이용한 FGFR3 활성 억제 기전의 연골무형성증 치료제에 대한 비임상 개발
RS-2024-00332473,KDDF,,기타,FAM19A5,바이오/첨단,Antibody,임상1상,뉴라클사이언스,sudden sensorineural hearing loss,,진행중 (국가신약개발사업 협약과제),,,,9.6,BIO 2016 (Phase1→승인 9.6%),시냅스 복원 기전의 감각신경성 난청 항체 치료제의 임상개발 및 사업화 추진
RS-2023-00282592,KDDF,,기타,recombinant coagulation factor VIIa,바이오/첨단,rProtein,임상1상,티움바이오,"Haemophilia A, B",,진행중 (국가신약개발사업 협약과제),,,,9.6,BIO 2016 (Phase1→승인 9.6%),반감기가 증가된 혈우병 우회인자 치료제 TU7710의 임상1상 연구
RS-2023-00259300,KDDF,,기타,androgen receptor,바이오/첨단,Gene & Nucleic acids,임상1상,올릭스주식회사,Androgenetic alopecia,,진행중 (국가신약개발사업 협약과제),,,,9.6,BIO 2016 (Phase1→승인 9.6%),자가전달 RNAi 유전자 조절 기술을 이용한 안드로겐성 탈모 억제 신약의 임상1a상 시험 진행 및 임상1b/2a상 승인
HN22C0112,KDDF,,기타,Hyaluronidase,바이오/첨단,rProtein,임상1상,㈜알테오젠,N/A,,진행중 (국가신약개발사업 협약과제),,,,9.6,BIO 2016 (Phase1→승인 9.6%),재조합 히알루로니다제 ALT-BB4 의 임상 1상 연구
RS-2025-02073057,KDDF,,기타,"pan-NOX 저해제 (NOX1,2,3,4,5, DUOX1,2)",합성/저분자,Small molecules,임상2상,압타바이오주식회사,Diabetic nephropathy,,진행중 (국가신약개발사업 협약과제),,,,15.2,BIO 2016 (Phase2→승인 15.2%),당뇨병성 신증 환자에서 pan-NOX 저해제 아이수지낙시브 임상 2b상 연구
RS-2024-00332313,KDDF,,기타,S1PR1&4,합성/저분자,Small molecules,임상2상,주식회사 넥스트젠바이오사이언스,Alopecia areata,,진행중 (국가신약개발사업 협약과제),,,,15.2,BIO 2016 (Phase2→승인 15.2%),원형탈모증 치료제 신약 Vonifimod 개발
RS-2023-00282888,KDDF,,기타,"Arthrography using magnetic resonance imaging (MRI) for shouler, hip, elbow, knee, wrist, and ankle",합성/저분자,Others-Synth.,임상2상,주식회사 인벤테라제약,Lymphadenopathy,,진행중 (국가신약개발사업 협약과제),,,,15.2,BIO 2016 (Phase2→승인 15.2%),철분기반 고성능 T1.MRI 조영제 신약 후보물질의 제3상 진입을 위한 제2b상 임상연구
RS-2023-00258708,KDDF,,기타,Progerin PPI,합성/저분자,Small molecules,임상2상,피알지에스앤텍,Progeria syndromes,,진행중 (국가신약개발사업 협약과제),,,,15.2,BIO 2016 (Phase2→승인 15.2%),소아조로증 치료제 Progerinin의 임상 2a상 개발
HN21C1298,KDDF,,기타,Gd-ligand,합성/저분자,Others-Synth.,임상2상,하나제약㈜,MRI contrast agent,,진행중 (국가신약개발사업 협약과제),,,,15.2,BIO 2016 (Phase2→승인 15.2%),안전성이 향상된 HNP-2006 조영제 신약 개발
NCT06174766,ClinicalTrials.gov,신약(후보물질),심혈관,,합성/저분자,합성/저분자,임상3상,Hanmi Pharmaceutical Company Limited,Hypertension,HGP2102-1; HGP2102-2; RLD2209-1; RLD2209-2,모집중,2024-05-10,2026-12-31,324,49.6,BIO 2016 (임상3상→승인 49.6%),A Study to Evaluate Efficacy and Safety of HGP2102 in Essential Hypertension Patients
NCT07481604,ClinicalTrials.gov,신약(후보물질),기타,,바이오/첨단,바이오/첨단,임상2상,"CHA Vaccine Institute Co., Ltd.",Herpes Zoster,Shingrix; CVI-VZV-001,개시예정,,,,15.2,BIO 2016 (임상2상→승인 15.2%),Safety and Immunogenicity of CVI-VZV-001 in Adults Aged 50 Years and Above
NCT06606093,ClinicalTrials.gov,신약(후보물질),대사,,합성/저분자,합성/저분자,임상3상,Daewoong Pharmaceutical Co. LTD.,Type 2 Diabetic Nephropathy,DWP16001 Placebo; DWP16001 0.3mg,개시예정,2024-09-23,2026-09-01,348,49.6,BIO 2016 (임상3상→승인 49.6%),Evaluate the Efficacy and Safety of DWP16001 in Type 2 Diabetic Nephropathy with Moderate Renal Impairment Patients
NCT06466785,ClinicalTrials.gov,신약(후보물질),기타,,바이오/첨단,바이오/첨단,임상3상,"Genexine, Inc.",Anemia of Chronic Kidney Disease,Efepoetin Alfa; Darbepoetin Alfa,모집중,2024-01-25,2027-06,429,49.6,BIO 2016 (임상3상→승인 49.6%),A Phase 3 Study of Efepoetin Alfa for Treatment of Anemia in Patients With Chronic Kidney Disease on Dialysis
NCT07552389,ClinicalTrials.gov,개량신약·복합제,대사,,합성/저분자,합성/저분자,임상3상,"Hanlim Pharm. Co., Ltd.",Hypertension; Diabete Type 2,Test group; Exploratory test group; Control group 1; Control group 2,모집중,2025-12-18,2028-12,228,49.6,BIO 2016 (임상3상→승인 49.6%),Clinical Trial to Evaluate the Efficacy and Safety of Monotherapy Group of HL1113R1 or HL1113R2 Versus HL1113 (Fixed Dose Combination) in Patients With Essential Hypertension and Type II Diabetes Mellitus
NCT04836507,ClinicalTrials.gov,신약(후보물질),종양,,바이오/첨단,바이오/첨단,임상2상,Curocell Inc.,Relapsed Large B-cell Lymphoma; Refractory Large B-cell Lymphoma; Diffuse Large ,CRC01; Fludarabine; Cyclophosphamide,모집중,,,,15.2,BIO 2016 (임상2상→승인 15.2%),Study of Efficacy and Safety of CRC01 in Adult Large B-cell Lymphoma Patients
NCT06625957,ClinicalTrials.gov,신약(후보물질),기타,,합성/저분자,합성/저분자,임상3상,Yuhan Corporation,Parenteral Nutrition,NTCB02-1; NTCB-C,모집중,2024-12-04,2025-07-18,60,49.6,BIO 2016 (임상3상→승인 49.6%),Clinical Trial to Evaluate the Safety and Efficacy of NTCB02-1 in Patients Who Require Parenteral Nutrition
NCT04689152,ClinicalTrials.gov,세포치료제,기타,,바이오/첨단,바이오/첨단,임상3상,"Pharmicell Co., Ltd.",Alcoholic Cirrhosis,Cellgram-LC,모집중,2021-03-02,2027-08-02,200,49.6,BIO 2016 (임상3상→승인 49.6%),Clinical Trial to Evaluate the Efficacy and Safety of Cellgram-LC Administration in Patients With Alcoholic Cirrhosis
NCT07415551,ClinicalTrials.gov,신약(후보물질),면역,,합성/저분자,합성/저분자,임상2상,Yuhan Corporation,Allergic Diseases; Chronic Spontaneous Urticaria (CSU),Lesigercept; Placebo,모집중,,,,15.2,BIO 2016 (임상2상→승인 15.2%),Phase 2 Study of Lesigercept in Adult Patients With Chronic Spontaneous Urticaria Who Are Inadequately Controlled by H1-Antihistamines
NCT04969731,ClinicalTrials.gov,세포치료제,종양,,바이오/첨단,바이오/첨단,임상3상,GC Cell Corporation,Pancreatic Ductal Adenocarcinoma,Immuncell-LC; Gemcitabine,모집중,2021-09-07,2026-12,408,49.6,BIO 2016 (임상3상→승인 49.6%),Safety and Efficacy of Immuncell-LC With Gemcitabine in Resectable Pancreatic Cancer
NCT06493799,ClinicalTrials.gov,백신·혈액제제,소화기,,합성/저분자,합성/저분자,임상3상,Green Cross Wellbeing,Chronic Liver Disease,LAENNEC (Human Placenta Hydrolysate) IV; LAENNEC (Human Placenta Hydrolysate) SC,모집중,2024-07-01,2026-03-31,226,49.6,BIO 2016 (임상3상→승인 49.6%),"In Patients With Chronic Liver Diseases(Alcoholic Liver Disease and Non-Alcoholic Fatty Liver Disease), LAENNEC(Human Placenta Hydrolysate) is to Evaluate the Efficacy and Safety of Intravenous Drop"
NCT06660719,ClinicalTrials.gov,신약(후보물질),신경,,합성/저분자,합성/저분자,임상3상,Shin Poong Pharmaceutical Co. Ltd.,Ischemic Stroke,SP-8203; Placebo,모집중,2025-02-14,2027-03-30,852,49.6,BIO 2016 (임상3상→승인 49.6%),Efficacy and Safety of SP-8203 (Otaplimastat) in Patients With Acute Ischemic Stroke Receiving Thrombolytic Standard of Care
NCT07449754,ClinicalTrials.gov,개량신약·복합제,종양,,합성/저분자,합성/저분자,임상2상,Hanmi Pharmaceutical Company Limited,Advanced or Metastatic Melanoma,Belvarafenib,모집중,,,,15.2,BIO 2016 (임상2상→승인 15.2%),Belvarafenib in Combination With Cobimetinib in Patients With Locally Advanced or Metastatic NRAS-Mutant Melanoma
NCT06328712,ClinicalTrials.gov,신약(후보물질),기타,,합성/저분자,합성/저분자,임상2상,ENCell,Charcot-Marie-Tooth Disease Type 1A,EN001; EN001 Placebo,모집중,,,,15.2,BIO 2016 (임상2상→승인 15.2%),"Evaluate the Safety and Efficacy of EN001 in Patients With Charcot-Marie-Tooth Disease Type 1A(CMT1A) (Phase 1b: Open-label, Dose-escalation, Single-center; Phase 2a: Randomized, Double-blind, Placebo-controlled, Multicenter)"
NCT03459534,ClinicalTrials.gov,신약(후보물질),종양,,합성/저분자,합성/저분자,임상3상,"Il-Yang Pharm. Co., Ltd.","Chronic Myeloid Leukemia, Chronic Phase; CML, Chronic Phase; CML, Refractory; CM",Radotinib HCl,모집중,2018-06-25,2026-06-30,173,49.6,BIO 2016 (임상3상→승인 49.6%),A Phase 3 Study for the Efficacy and Safety of Radotinib in CP-CML Patients With Failure or Intolerance to Previous TKIs
NCT05422508,ClinicalTrials.gov,백신·혈액제제,기타,,바이오/첨단,바이오/첨단,임상2상,Green Cross Corporation,Varicella,MG1111 (BARICELA); VARIVAX; Suduvax,모집중,,,,15.2,BIO 2016 (임상2상→승인 15.2%),Evaluate the Safety and Immunogenicity After MG1111(BARICELA Inj.) as 2nd Vaccination in 4 ~ 6 Year Old Healthy Children With a History of 1st Varicella Vaccination
NCT07378098,ClinicalTrials.gov,개량신약·복합제,기타,,합성/저분자,합성/저분자,임상3상,JW Pharmaceutical,Menorrhagia; Uterine Fibroids,KLH-2109+ Leurprorelin acetate Placebo; KLH-2109 Placebo + Leurprorelin acetate,모집중,2026-02-03,2028-03-31,254,49.6,BIO 2016 (임상3상→승인 49.6%),to Evaluate the Efficacy and Safety of KLH-2109 in Patients With Uterine Fibroids and Menorrhagia
NCT07373613,ClinicalTrials.gov,신약(후보물질),심혈관,,합성/저분자,합성/저분자,임상2상,"Boryung Pharmaceutical Co., Ltd",Essential Hypertension,BR1400-1; BR1400-2; BR1400-3; BR1400-4; BR1400-5; BR1400-A; BR1400-B; BR1400-C,개시예정,,,,15.2,BIO 2016 (임상2상→승인 15.2%),"A Study of BR1400-1, BR1400-2, BR1400-3, BR1400-4, and BR1400-5 in Patients With Essential Hypertension"
NCT07415252,ClinicalTrials.gov,백신·혈액제제,기타,,바이오/첨단,바이오/첨단,임상3상,"SK Bioscience Co., Ltd.",Varicella (Chickenpox),NBP608 (Mid Potency); NBP608 (Low Potency); Varivax®; SKYVaricella®,개시예정,2026-06-05,2027-02-13,780,49.6,BIO 2016 (임상3상→승인 49.6%),SkyVaricella® (NBP608) Vaccine With Lower Potencies in Healthy Children Aged 12 Months to 12 Years
